Código SNIES del programa,Año,Semestre,ID Sexo,Admitidos 2014,Selected
52979,2014,1,1,6,No
52980,2014,2,2,19,No
52980,2014,2,1,14,No
53263,2014,2,2,7,No
53263,2014,2,1,19,No
53264,2014,1,2,6,No
53264,2014,1,1,12,No
53265,2014,1,2,6,No
53265,2014,1,1,4,No
53266,2014,1,2,5,No
53266,2014,1,1,10,No
53267,2014,2,2,5,No
53267,2014,2,1,9,No
53268,2014,1,2,21,No
53268,2014,1,1,11,No
53269,2014,1,2,1,No
53270,2014,2,2,7,No
53270,2014,1,1,1,No
53270,2014,2,1,1,No
53272,2014,1,2,1,No
53272,2014,2,2,3,No
53272,2014,1,1,2,No
53272,2014,2,1,7,No
53273,2014,1,2,3,No
53273,2014,2,2,1,No
53273,2014,2,1,1,No
53274,2014,2,2,1,No
53274,2014,2,1,2,No
54030,2014,1,2,8,No
54030,2014,1,1,1,No
54031,2014,1,2,6,No
54034,2014,1,2,2,No
54034,2014,2,2,2,No
54034,2014,1,1,15,No
54034,2014,2,1,16,No
54036,2014,1,2,16,No
54036,2014,2,2,23,No
54036,2014,1,1,28,No
54036,2014,2,1,26,No
54576,2014,1,2,11,No
54576,2014,1,1,13,No
54577,2014,2,2,22,No
54577,2014,2,1,7,No
54578,2014,2,2,24,No
54578,2014,2,1,13,No
55022,2014,1,2,6,No
55022,2014,1,1,8,No
55023,2014,2,2,6,No
55023,2014,2,1,5,No
55024,2014,1,2,5,No
55024,2014,1,1,2,No
55026,2014,2,2,4,No
55026,2014,2,1,5,No
55027,2014,1,2,15,No
55027,2014,1,1,2,No
55123,2014,1,2,2,No
55123,2014,1,1,1,No
55124,2014,2,2,2,No
55124,2014,1,1,5,No
55124,2014,2,1,6,No
55125,2014,2,2,6,No
55125,2014,2,1,5,No
55129,2014,2,2,1,No
55129,2014,2,1,4,No
55136,2014,1,2,24,No
55136,2014,2,2,30,No
55136,2014,1,1,32,No
55136,2014,2,1,43,No
55138,2014,2,2,6,No
55138,2014,2,1,2,No
55147,2014,1,2,6,No
55147,2014,1,1,2,No
55148,2014,1,2,5,No
55148,2014,2,2,7,No
55148,2014,1,1,5,No
55148,2014,2,1,3,No
55149,2014,2,2,3,No
55149,2014,2,1,1,No
55150,2014,2,2,25,No
55150,2014,2,1,10,No
55182,2014,1,2,1,No
55182,2014,1,1,1,No
55182,2014,2,1,3,No
55186,2014,1,2,3,No
55186,2014,1,1,5,No
55187,2014,2,2,2,No
55187,2014,1,1,1,No
55187,2014,2,1,8,No
55208,2014,1,2,9,No
55209,2014,1,2,12,No
55209,2014,1,1,18,No
91522,2014,1,2,5,No
91522,2014,1,1,6,No
101794,2014,1,2,5,No
101794,2014,1,1,12,No
101796,2014,2,2,2,No
101796,2014,2,1,8,No
101798,2014,1,2,1,No
101798,2014,1,1,6,No
101799,2014,1,2,6,No
101799,2014,2,2,2,No
101799,2014,1,1,5,No
101799,2014,2,1,2,No
101982,2014,2,2,5,No
101982,2014,2,1,1,No
102404,2014,2,2,2,No
102404,2014,1,1,5,No
102404,2014,2,1,5,No
102832,2014,2,1,5,No
102866,2014,2,2,3,No
102866,2014,2,1,12,No
113,2014,1,2,17,No
113,2014,2,2,14,No
113,2014,1,1,29,No
113,2014,2,1,37,No
114,2014,1,2,12,No
114,2014,2,2,15,No
114,2014,1,1,36,No
114,2014,2,1,26,No
115,2014,1,2,21,No
115,2014,2,2,20,No
115,2014,1,1,26,No
115,2014,2,1,32,No
116,2014,1,2,16,No
116,2014,2,2,30,No
116,2014,1,1,52,No
116,2014,2,1,62,No
117,2014,1,2,14,No
117,2014,2,2,26,No
117,2014,1,1,82,No
117,2014,2,1,70,No
118,2014,1,2,17,No
118,2014,2,2,23,No
118,2014,1,1,55,No
118,2014,2,1,51,No
119,2014,1,2,9,No
119,2014,2,2,9,No
119,2014,1,1,48,No
119,2014,2,1,50,No
120,2014,1,2,8,No
120,2014,2,2,6,No
120,2014,1,1,62,No
120,2014,2,1,65,No
121,2014,1,2,27,No
121,2014,2,2,19,No
121,2014,1,1,59,No
121,2014,2,1,46,No
122,2014,1,2,12,No
122,2014,2,2,4,No
122,2014,1,1,63,No
122,2014,2,1,71,No
123,2014,1,2,27,No
123,2014,2,2,44,No
123,2014,1,1,63,No
123,2014,2,1,52,No
124,2014,1,2,28,No
124,2014,2,2,40,No
124,2014,1,1,44,No
124,2014,2,1,42,No
125,2014,1,2,29,No
125,2014,2,2,27,No
125,2014,1,1,52,No
125,2014,2,1,32,No
126,2014,1,2,17,No
126,2014,2,2,21,No
126,2014,1,1,57,No
126,2014,2,1,52,No
127,2014,1,2,18,No
127,2014,2,2,19,No
127,2014,1,1,39,No
127,2014,2,1,37,No
128,2014,1,2,10,No
128,2014,2,2,8,No
128,2014,1,1,25,No
128,2014,2,1,29,No
129,2014,1,2,10,No
129,2014,2,2,12,No
129,2014,1,1,25,No
129,2014,2,1,36,No
132,2014,1,2,2,No
132,2014,2,2,4,No
132,2014,1,1,4,No
132,2014,2,1,2,No
134,2014,1,2,8,No
134,2014,1,1,9,No
135,2014,2,2,5,No
135,2014,2,1,13,No
136,2014,1,2,4,No
136,2014,2,2,7,No
136,2014,1,1,9,No
136,2014,2,1,12,No
137,2014,1,2,3,No
137,2014,2,2,5,No
137,2014,1,1,7,No
137,2014,2,1,10,No
139,2014,1,2,12,No
139,2014,1,1,10,No
140,2014,1,2,7,No
140,2014,1,1,8,No
141,2014,1,2,2,No
141,2014,1,1,7,No
142,2014,1,2,6,No
142,2014,2,2,4,No
142,2014,1,1,1,No
2501,2014,1,2,3,No
2501,2014,2,2,1,No
2501,2014,2,1,1,No
2503,2014,2,2,1,No
2503,2014,2,1,4,No
2504,2014,2,2,6,No
2504,2014,2,1,8,No
2506,2014,1,2,17,No
2506,2014,2,2,6,No
2506,2014,1,1,23,No
2506,2014,2,1,11,No
2706,2014,1,2,11,No
2706,2014,1,1,2,No
3194,2014,1,2,4,No
3194,2014,1,1,15,No
3194,2014,2,1,21,No
16919,2014,1,2,13,No
16919,2014,2,2,11,No
16919,2014,1,1,7,No
16919,2014,2,1,9,No
16920,2014,1,2,18,No
16920,2014,2,2,28,No
16920,2014,1,1,39,No
16920,2014,2,1,54,No
16921,2014,1,2,36,No
16921,2014,2,2,39,No
16921,2014,1,1,37,No
16921,2014,2,1,33,No
16922,2014,1,2,12,No
16922,2014,2,2,13,No
16922,2014,1,1,44,No
16922,2014,2,1,56,No
16923,2014,1,2,15,No
16923,2014,2,2,15,No
16923,2014,1,1,52,No
16923,2014,2,1,61,No
16924,2014,1,2,17,No
16924,2014,2,2,18,No
16924,2014,1,1,31,No
16924,2014,2,1,34,No
16925,2014,1,2,9,No
16925,2014,2,2,10,No
16925,2014,1,1,63,No
16925,2014,2,1,63,No
16926,2014,1,2,23,No
16926,2014,2,2,27,No
16926,2014,1,1,25,No
